"method","replication","n","coordinate","minimum","maximum"
"Random",15,70,"Ta",0,0.6484375
"Random",15,70,"Ti",0,0.703125
"Random",15,70,"V",0,0.703125
"Random",15,70,"W",0,0.6484375
"Random",15,70,"Zr",0,0.8203125
"Random",16,70,"Mo",0,0.703125
"Random",16,70,"Nb",0,0.6484375
"Random",16,70,"Ta",0,0.765625
"Random",16,70,"Ti",0,0.46875
"Random",16,70,"V",0,0.5859375
"Random",16,70,"W",0,0.5859375
"Random",16,70,"Zr",0,0.765625
"Random",17,70,"Mo",0,0.5859375
"Random",17,70,"Nb",0,0.5859375
"Random",17,70,"Ta",0,0.46875
"Random",17,70,"Ti",0,0.703125
"Random",17,70,"V",0,0.703125
"Random",17,70,"W",0,0.53125
"Random",17,70,"Zr",0,0.5859375
"Random",18,70,"Mo",0,0.703125
"Random",18,70,"Nb",0,0.46875
"Random",18,70,"Ta",0,0.5859375
"Random",18,70,"Ti",0,0.765625
"Random",18,70,"V",0,0.703125
"Random",18,70,"W",0,0.46875
"Random",18,70,"Zr",0,0.6484375
"Random",19,70,"Mo",0,0.765625
"Random",19,70,"Nb",0,0.8203125
"Random",19,70,"Ta",0,0.703125
"Random",19,70,"Ti",0,0.53125
"Random",19,70,"V",0,0.5859375
"Random",19,70,"W",0,0.6484375
"Random",19,70,"Zr",0,0.6484375
"Random",20,70,"Mo",0,0.8203125
"Random",20,70,"Nb",0,0.703125
"Random",20,70,"Ta",0,0.46875
"Random",20,70,"Ti",0,0.6484375
"Random",20,70,"V",0,0.6484375
"Random",20,70,"W",0,0.765625
"Random",20,70,"Zr",0,0.703125
"Random",21,70,"Mo",0,0.703125
"Random",21,70,"Nb",0,0.703125
"Random",21,70,"Ta",0,0.8828125
"Random",21,70,"Ti",0,0.6484375
"Random",21,70,"V",0,0.6484375
"Random",21,70,"W",0,0.6484375
"Random",21,70,"Zr",0,0.53125
"Random",22,70,"Mo",0,0.5859375
"Random",22,70,"Nb",0,0.4140625
"Random",22,70,"Ta",0,0.703125
"Random",22,70,"Ti",0,0.703125
"Random",22,70,"V",0,0.53125
"Random",22,70,"W",0,0.46875
"Random",22,70,"Zr",0,0.6484375
"Random",23,70,"Mo",0,0.53125
"Random",23,70,"Nb",0,0.6484375
"Random",23,70,"Ta",0,0.6484375
"Random",23,70,"Ti",0,0.765625
"Random",23,70,"V",0,0.5859375
"Random",23,70,"W",0,0.6484375
"Random",23,70,"Zr",0,0.6484375
"Random",24,70,"Mo",0,0.6484375
"Random",24,70,"Nb",0,0.703125
"Random",24,70,"Ta",0,0.53125
"Random",24,70,"Ti",0,0.6484375
"Random",24,70,"V",0,0.6484375
"Random",24,70,"W",0,0.765625
"Random",24,70,"Zr",0,0.703125
"Random",25,70,"Mo",0,0.703125
"Random",25,70,"Nb",0,0.5859375
"Random",25,70,"Ta",0,0.5859375
"Random",25,70,"Ti",0,0.46875
"Random",25,70,"V",0,0.6484375
"Random",25,70,"W",0,0.5859375
"Random",25,70,"Zr",0,0.46875
"Random",26,70,"Mo",0,0.53125
"Random",26,70,"Nb",0,0.6484375
"Random",26,70,"Ta",0,0.53125
"Random",26,70,"Ti",0,0.765625
"Random",26,70,"V",0,0.46875
"Random",26,70,"W",0,0.703125
"Random",26,70,"Zr",0,0.703125
"Random",27,70,"Mo",0,0.5859375
"Random",27,70,"Nb",0,0.703125
"Random",27,70,"Ta",0,0.46875
"Random",27,70,"Ti",0,0.5859375
"Random",27,70,"V",0,0.5859375
"Random",27,70,"W",0,0.6484375
"Random",27,70,"Zr",0,0.6484375
"Random",28,70,"Mo",0,0.6484375
"Random",28,70,"Nb",0,0.5859375
"Random",28,70,"Ta",0,0.765625
"Random",28,70,"Ti",0,0.5859375
"Random",28,70,"V",0,0.703125
"Random",28,70,"W",0,0.703125
"Random",28,70,"Zr",0,0.5859375
"Random",29,70,"Mo",0,0.703125
"Random",29,70,"Nb",0,0.6484375
"Random",29,70,"Ta",0,0.46875
"Random",29,70,"Ti",0,0.5859375
"Random",29,70,"V",0,0.53125
"Random",29,70,"W",0,1
"Random",29,70,"Zr",0,0.8828125
"Random",30,70,"Mo",0,0.6484375
"Random",30,70,"Nb",0,0.53125
"Random",30,70,"Ta",0,0.8203125
"Random",30,70,"Ti",0,0.53125
"Random",30,70,"V",0,0.6484375
"Random",30,70,"W",0,0.703125
"Random",30,70,"Zr",0,0.703125
"QMC",1,70,"Mo",0,0.53125
"QMC",1,70,"Nb",0,0.6484375
"QMC",1,70,"Ta",0,0.6484375
"QMC",1,70,"Ti",0,0.53125
"QMC",1,70,"V",0,0.5859375
"QMC",1,70,"W",0,0.5859375
"QMC",1,70,"Zr",0,0.53125
"QMC",2,70,"Mo",0,0.5859375
"QMC",2,70,"Nb",0,0.6484375
"QMC",2,70,"Ta",0,0.5859375
"QMC",2,70,"Ti",0,0.5859375
"QMC",2,70,"V",0,0.46875
"QMC",2,70,"W",0,0.53125
"QMC",2,70,"Zr",0,0.53125
"QMC",3,70,"Mo",0,0.5859375
"QMC",3,70,"Nb",0,0.6484375
"QMC",3,70,"Ta",0,0.5859375
"QMC",3,70,"Ti",0,0.6484375
"QMC",3,70,"V",0,0.5859375
"QMC",3,70,"W",0,0.46875
"QMC",3,70,"Zr",0,0.6484375
"QMC",4,70,"Mo",0,0.5859375
"QMC",4,70,"Nb",0,0.53125
"QMC",4,70,"Ta",0,0.5859375
"QMC",4,70,"Ti",0,0.5859375
"QMC",4,70,"V",0,0.53125
"QMC",4,70,"W",0,0.6484375
"QMC",4,70,"Zr",0,0.46875
"QMC",5,70,"Mo",0,0.46875
"QMC",5,70,"Nb",0,0.5859375
"QMC",5,70,"Ta",0,0.53125
"QMC",5,70,"Ti",0,0.5859375
"QMC",5,70,"V",0,0.6484375
"QMC",5,70,"W",0,0.53125
"QMC",5,70,"Zr",0,0.5859375
"QMC",6,70,"Mo",0,0.53125
"QMC",6,70,"Nb",0,0.46875
"QMC",6,70,"Ta",0,0.53125
"QMC",6,70,"Ti",0,0.6484375
"QMC",6,70,"V",0,0.46875
"QMC",6,70,"W",0,0.6484375
"QMC",6,70,"Zr",0,0.46875
"QMC",7,70,"Mo",0,0.5859375
"QMC",7,70,"Nb",0,0.46875
"QMC",7,70,"Ta",0,0.5859375
"QMC",7,70,"Ti",0,0.53125
"QMC",7,70,"V",0,0.46875
"QMC",7,70,"W",0,0.5859375
"QMC",7,70,"Zr",0,0.5859375
"QMC",8,70,"Mo",0,0.5859375
"QMC",8,70,"Nb",0,0.46875
"QMC",8,70,"Ta",0,0.53125
"QMC",8,70,"Ti",0,0.765625
"QMC",8,70,"V",0,0.53125
"QMC",8,70,"W",0,0.5859375
"QMC",8,70,"Zr",0,0.53125
"QMC",9,70,"Mo",0,0.6484375
"QMC",9,70,"Nb",0,0.765625
"QMC",9,70,"Ta",0,0.6484375
"QMC",9,70,"Ti",0,0.5859375
"QMC",9,70,"V",0,0.46875
"QMC",9,70,"W",0,0.6484375
"QMC",9,70,"Zr",0,0.5859375
"QMC",10,70,"Mo",0,0.53125
"QMC",10,70,"Nb",0,0.53125
"QMC",10,70,"Ta",0,0.6484375
"QMC",10,70,"Ti",0,0.5859375
"QMC",10,70,"V",0,0.5859375
"QMC",10,70,"W",0,0.53125
"QMC",10,70,"Zr",0,0.53125
"QMC",11,70,"Mo",0,0.6484375
"QMC",11,70,"Nb",0,0.6484375
"QMC",11,70,"Ta",0,0.5859375
"QMC",11,70,"Ti",0,0.5859375
"QMC",11,70,"V",0,0.46875
"QMC",11,70,"W",0,0.6484375
"QMC",11,70,"Zr",0,0.53125
"QMC",12,70,"Mo",0,0.5859375
"QMC",12,70,"Nb",0,0.5859375
"QMC",12,70,"Ta",0,0.6484375
"QMC",12,70,"Ti",0,0.53125
"QMC",12,70,"V",0,0.53125
"QMC",12,70,"W",0,0.46875
"QMC",12,70,"Zr",0,0.5859375
"QMC",13,70,"Mo",0,0.53125
"QMC",13,70,"Nb",0,0.5859375
"QMC",13,70,"Ta",0,0.53125
"QMC",13,70,"Ti",0,0.46875
"QMC",13,70,"V",0,0.6484375
"QMC",13,70,"W",0,0.53125
"QMC",13,70,"Zr",0,0.5859375
"QMC",14,70,"Mo",0,0.53125
"QMC",14,70,"Nb",0,0.6484375
"QMC",14,70,"Ta",0,0.6484375
"QMC",14,70,"Ti",0,0.6484375
"QMC",14,70,"V",0,0.53125
"QMC",14,70,"W",0,0.46875
"QMC",14,70,"Zr",0,0.53125
"QMC",15,70,"Mo",0,0.53125
"QMC",15,70,"Nb",0,0.6484375
"QMC",15,70,"Ta",0,0.5859375
"QMC",15,70,"Ti",0,0.46875
"QMC",15,70,"V",0,0.53125
"QMC",15,70,"W",0,0.703125
"QMC",15,70,"Zr",0,0.46875
"QMC",16,70,"Mo",0,0.6484375
"QMC",16,70,"Nb",0,0.5859375
"QMC",16,70,"Ta",0,0.5859375
"QMC",16,70,"Ti",0,0.46875
"QMC",16,70,"V",0,0.53125
"QMC",16,70,"W",0,0.5859375
"QMC",16,70,"Zr",0,0.703125
"QMC",17,70,"Mo",0,0.53125
"QMC",17,70,"Nb",0,0.5859375
"QMC",17,70,"Ta",0,0.5859375
"QMC",17,70,"Ti",0,0.6484375
"QMC",17,70,"V",0,0.6484375
"QMC",17,70,"W",0,0.6484375
"QMC",17,70,"Zr",0,0.5859375
"QMC",18,70,"Mo",0,0.5859375
"QMC",18,70,"Nb",0,0.5859375
"QMC",18,70,"Ta",0,0.53125
"QMC",18,70,"Ti",0,0.5859375
"QMC",18,70,"V",0,0.46875
"QMC",18,70,"W",0,0.46875
"QMC",18,70,"Zr",0,0.5859375
"QMC",19,70,"Mo",0,0.53125
"QMC",19,70,"Nb",0,0.5859375
"QMC",19,70,"Ta",0,0.6484375
"QMC",19,70,"Ti",0,0.5859375
"QMC",19,70,"V",0,0.46875
"QMC",19,70,"W",0,0.53125
"QMC",19,70,"Zr",0,0.46875
"QMC",20,70,"Mo",0,0.53125
"QMC",20,70,"Nb",0,0.5859375
"QMC",20,70,"Ta",0,0.5859375
"QMC",20,70,"Ti",0,0.5859375
"QMC",20,70,"V",0,0.703125
"QMC",20,70,"W",0,0.46875
"QMC",20,70,"Zr",0,0.6484375
"QMC",21,70,"Mo",0,0.5859375
"QMC",21,70,"Nb",0,0.53125
"QMC",21,70,"Ta",0,0.5859375
"QMC",21,70,"Ti",0,0.5859375
"QMC",21,70,"V",0,0.6484375
"QMC",21,70,"W",0,0.53125
"QMC",21,70,"Zr",0,0.46875
"QMC",22,70,"Mo",0,0.6484375
"QMC",22,70,"Nb",0,0.5859375
"QMC",22,70,"Ta",0,0.6484375
"QMC",22,70,"Ti",0,0.46875
"QMC",22,70,"V",0,0.53125
"QMC",22,70,"W",0,0.765625
"QMC",22,70,"Zr",0,0.46875
"QMC",23,70,"Mo",0,0.53125
"QMC",23,70,"Nb",0,0.5859375
"QMC",23,70,"Ta",0,0.6484375
"QMC",23,70,"Ti",0,0.53125
"QMC",23,70,"V",0,0.53125
"QMC",23,70,"W",0,0.6484375
"QMC",23,70,"Zr",0,0.5859375
"QMC",24,70,"Mo",0,0.53125
"QMC",24,70,"Nb",0,0.53125
"QMC",24,70,"Ta",0,0.765625
"QMC",24,70,"Ti",0,0.703125
"QMC",24,70,"V",0,0.53125
"QMC",24,70,"W",0,0.5859375
"QMC",24,70,"Zr",0,0.53125
"QMC",25,70,"Mo",0,0.46875
"QMC",25,70,"Nb",0,0.5859375
"QMC",25,70,"Ta",0,0.46875
"QMC",25,70,"Ti",0,0.5859375
"QMC",25,70,"V",0,0.5859375
"QMC",25,70,"W",0,0.46875
"QMC",25,70,"Zr",0,0.5859375
"QMC",26,70,"Mo",0,0.53125
"QMC",26,70,"Nb",0,0.53125
"QMC",26,70,"Ta",0,0.6484375
"QMC",26,70,"Ti",0,0.6484375
"QMC",26,70,"V",0,0.6484375
"QMC",26,70,"W",0,0.53125
"QMC",26,70,"Zr",0,0.5859375
"QMC",27,70,"Mo",0,0.53125
"QMC",27,70,"Nb",0,0.703125
"QMC",27,70,"Ta",0,0.46875
"QMC",27,70,"Ti",0,0.53125
"QMC",27,70,"V",0,0.5859375
"QMC",27,70,"W",0,0.6484375
"QMC",27,70,"Zr",0,0.46875
"QMC",28,70,"Mo",0,0.6484375
"QMC",28,70,"Nb",0,0.5859375
"QMC",28,70,"Ta",0,0.5859375
"QMC",28,70,"Ti",0,0.5859375
"QMC",28,70,"V",0,0.53125
"QMC",28,70,"W",0,0.53125
"QMC",28,70,"Zr",0,0.6484375
"QMC",29,70,"Mo",0,0.8828125
"QMC",29,70,"Nb",0,0.5859375
"QMC",29,70,"Ta",0,0.5859375
"QMC",29,70,"Ti",0,0.6484375
"QMC",29,70,"V",0,0.46875
"QMC",29,70,"W",0,0.6484375
"QMC",29,70,"Zr",0,0.765625
"QMC",30,70,"Mo",0,0.5859375
"QMC",30,70,"Nb",0,0.53125
"QMC",30,70,"Ta",0,0.46875
"QMC",30,70,"Ti",0,0.46875
"QMC",30,70,"V",0,0.5859375
"QMC",30,70,"W",0,0.53125
"QMC",30,70,"Zr",0,0.5859375
"K-medoids",1,70,"Mo",0,0.6484375
"K-medoids",1,70,"Nb",0,0.6484375
"K-medoids",1,70,"Ta",0,0.6484375
"K-medoids",1,70,"Ti",0,0.6484375
"K-medoids",1,70,"V",0,0.6484375
"K-medoids",1,70,"W",0,0.6484375
"K-medoids",1,70,"Zr",0,0.6484375
"K-medoids",2,70,"Mo",0,0.6484375
"K-medoids",2,70,"Nb",0,0.6484375
"K-medoids",2,70,"Ta",0,0.6484375
"K-medoids",2,70,"Ti",0,0.6484375
"K-medoids",2,70,"V",0,0.6484375
"K-medoids",2,70,"W",0,0.6484375
"K-medoids",2,70,"Zr",0,0.6484375
"K-medoids",3,70,"Mo",0,0.6484375
"K-medoids",3,70,"Nb",0,0.6484375
"K-medoids",3,70,"Ta",0,0.6484375
"K-medoids",3,70,"Ti",0,0.6484375
"K-medoids",3,70,"V",0,0.6484375
"K-medoids",3,70,"W",0,0.6484375
"K-medoids",3,70,"Zr",0,0.6484375
"K-medoids",4,70,"Mo",0,0.6484375
"K-medoids",4,70,"Nb",0,0.6484375
"K-medoids",4,70,"Ta",0,0.6484375
"K-medoids",4,70,"Ti",0,0.6484375
"K-medoids",4,70,"V",0,0.6484375
"K-medoids",4,70,"W",0,0.6484375
"K-medoids",4,70,"Zr",0,0.6484375
"K-medoids",5,70,"Mo",0,0.6484375
"K-medoids",5,70,"Nb",0,0.6484375
"K-medoids",5,70,"Ta",0,0.6484375
"K-medoids",5,70,"Ti",0,0.6484375
"K-medoids",5,70,"V",0,0.6484375
"K-medoids",5,70,"W",0,0.6484375
"K-medoids",5,70,"Zr",0,0.6484375
"K-medoids",6,70,"Mo",0,0.6484375
"K-medoids",6,70,"Nb",0,0.6484375
"K-medoids",6,70,"Ta",0,0.6484375
"K-medoids",6,70,"Ti",0,0.6484375
"K-medoids",6,70,"V",0,0.6484375
"K-medoids",6,70,"W",0,0.6484375
"K-medoids",6,70,"Zr",0,0.6484375
"K-medoids",7,70,"Mo",0,0.6484375
"K-medoids",7,70,"Nb",0,0.6484375
"K-medoids",7,70,"Ta",0,0.6484375
"K-medoids",7,70,"Ti",0,0.6484375
"K-medoids",7,70,"V",0,0.6484375
"K-medoids",7,70,"W",0,0.6484375
"K-medoids",7,70,"Zr",0,0.6484375
"K-medoids",8,70,"Mo",0,0.6484375
"K-medoids",8,70,"Nb",0,0.6484375
"K-medoids",8,70,"Ta",0,0.6484375
"K-medoids",8,70,"Ti",0,0.6484375
"K-medoids",8,70,"V",0,0.6484375
"K-medoids",8,70,"W",0,0.6484375
"K-medoids",8,70,"Zr",0,0.6484375
"K-medoids",9,70,"Mo",0,0.6484375
"K-medoids",9,70,"Nb",0,0.6484375
"K-medoids",9,70,"Ta",0,0.6484375
"K-medoids",9,70,"Ti",0,0.6484375
"K-medoids",9,70,"V",0,0.6484375
"K-medoids",9,70,"W",0,0.6484375
"K-medoids",9,70,"Zr",0,0.6484375
"K-medoids",10,70,"Mo",0,0.6484375
"K-medoids",10,70,"Nb",0,0.6484375
"K-medoids",10,70,"Ta",0,0.6484375
"K-medoids",10,70,"Ti",0,0.6484375
"K-medoids",10,70,"V",0,0.6484375
"K-medoids",10,70,"W",0,0.6484375
"K-medoids",10,70,"Zr",0,0.6484375
"K-medoids",11,70,"Mo",0,0.6484375
"K-medoids",11,70,"Nb",0,0.6484375
"K-medoids",11,70,"Ta",0,0.6484375
"K-medoids",11,70,"Ti",0,0.6484375
"K-medoids",11,70,"V",0,0.6484375
"K-medoids",11,70,"W",0,0.6484375
"K-medoids",11,70,"Zr",0,0.6484375
"K-medoids",12,70,"Mo",0,0.6484375
"K-medoids",12,70,"Nb",0,0.6484375
"K-medoids",12,70,"Ta",0,0.6484375
"K-medoids",12,70,"Ti",0,0.6484375
"K-medoids",12,70,"V",0,0.6484375
"K-medoids",12,70,"W",0,0.6484375
"K-medoids",12,70,"Zr",0,0.6484375
"K-medoids",13,70,"Mo",0,0.6484375
"K-medoids",13,70,"Nb",0,0.6484375
"K-medoids",13,70,"Ta",0,0.6484375
"K-medoids",13,70,"Ti",0,0.6484375
"K-medoids",13,70,"V",0,0.6484375
"K-medoids",13,70,"W",0,0.6484375
"K-medoids",13,70,"Zr",0,0.6484375
"K-medoids",14,70,"Mo",0,0.6484375
"K-medoids",14,70,"Nb",0,0.6484375
"K-medoids",14,70,"Ta",0,0.6484375
"K-medoids",14,70,"Ti",0,0.6484375
"K-medoids",14,70,"V",0,0.6484375
"K-medoids",14,70,"W",0,0.6484375
"K-medoids",14,70,"Zr",0,0.6484375
"K-medoids",15,70,"Mo",0,0.6484375
"K-medoids",15,70,"Nb",0,0.6484375
"K-medoids",15,70,"Ta",0,0.6484375
"K-medoids",15,70,"Ti",0,0.6484375
"K-medoids",15,70,"V",0,0.6484375
"K-medoids",15,70,"W",0,0.6484375
"K-medoids",15,70,"Zr",0,0.6484375
"K-medoids",16,70,"Mo",0,0.6484375
"K-medoids",16,70,"Nb",0,0.6484375
"K-medoids",16,70,"Ta",0,0.6484375
"K-medoids",16,70,"Ti",0,0.6484375
"K-medoids",16,70,"V",0,0.6484375
"K-medoids",16,70,"W",0,0.6484375
"K-medoids",16,70,"Zr",0,0.6484375
"K-medoids",17,70,"Mo",0,0.6484375
"K-medoids",17,70,"Nb",0,0.6484375
"K-medoids",17,70,"Ta",0,0.6484375
"K-medoids",17,70,"Ti",0,0.6484375
"K-medoids",17,70,"V",0,0.6484375
"K-medoids",17,70,"W",0,0.6484375
"K-medoids",17,70,"Zr",0,0.6484375
"K-medoids",18,70,"Mo",0,0.6484375
"K-medoids",18,70,"Nb",0,0.6484375
"K-medoids",18,70,"Ta",0,0.6484375
"K-medoids",18,70,"Ti",0,0.6484375
"K-medoids",18,70,"V",0,0.6484375
"K-medoids",18,70,"W",0,0.6484375
"K-medoids",18,70,"Zr",0,0.6484375
"K-medoids",19,70,"Mo",0,0.6484375
"K-medoids",19,70,"Nb",0,0.6484375
"K-medoids",19,70,"Ta",0,0.6484375
"K-medoids",19,70,"Ti",0,0.6484375
"K-medoids",19,70,"V",0,0.6484375
"K-medoids",19,70,"W",0,0.6484375
"K-medoids",19,70,"Zr",0,0.6484375
"K-medoids",20,70,"Mo",0,0.6484375
"K-medoids",20,70,"Nb",0,0.6484375
"K-medoids",20,70,"Ta",0,0.6484375
"K-medoids",20,70,"Ti",0,0.6484375
"K-medoids",20,70,"V",0,0.6484375
"K-medoids",20,70,"W",0,0.6484375
"K-medoids",20,70,"Zr",0,0.6484375
"K-medoids",21,70,"Mo",0,0.6484375
"K-medoids",21,70,"Nb",0,0.6484375
"K-medoids",21,70,"Ta",0,0.6484375
"K-medoids",21,70,"Ti",0,0.6484375
"K-medoids",21,70,"V",0,0.6484375
"K-medoids",21,70,"W",0,0.6484375
"K-medoids",21,70,"Zr",0,0.6484375
"K-medoids",22,70,"Mo",0,0.6484375
"K-medoids",22,70,"Nb",0,0.6484375
"K-medoids",22,70,"Ta",0,0.6484375
"K-medoids",22,70,"Ti",0,0.6484375
"K-medoids",22,70,"V",0,0.6484375
"K-medoids",22,70,"W",0,0.6484375
"K-medoids",22,70,"Zr",0,0.6484375
"K-medoids",23,70,"Mo",0,0.6484375
"K-medoids",23,70,"Nb",0,0.6484375
"K-medoids",23,70,"Ta",0,0.6484375
"K-medoids",23,70,"Ti",0,0.6484375
"K-medoids",23,70,"V",0,0.6484375
"K-medoids",23,70,"W",0,0.6484375
"K-medoids",23,70,"Zr",0,0.6484375
"K-medoids",24,70,"Mo",0,0.6484375
"K-medoids",24,70,"Nb",0,0.6484375
"K-medoids",24,70,"Ta",0,0.6484375
"K-medoids",24,70,"Ti",0,0.6484375
"K-medoids",24,70,"V",0,0.6484375
"K-medoids",24,70,"W",0,0.6484375
"K-medoids",24,70,"Zr",0,0.6484375
"K-medoids",25,70,"Mo",0,0.6484375
"K-medoids",25,70,"Nb",0,0.6484375
"K-medoids",25,70,"Ta",0,0.6484375
"K-medoids",25,70,"Ti",0,0.6484375
"K-medoids",25,70,"V",0,0.6484375
"K-medoids",25,70,"W",0,0.6484375
"K-medoids",25,70,"Zr",0,0.6484375
"K-medoids",26,70,"Mo",0,0.6484375
"K-medoids",26,70,"Nb",0,0.6484375
"K-medoids",26,70,"Ta",0,0.6484375
"K-medoids",26,70,"Ti",0,0.6484375
"K-medoids",26,70,"V",0,0.6484375
"K-medoids",26,70,"W",0,0.6484375
"K-medoids",26,70,"Zr",0,0.6484375
"K-medoids",27,70,"Mo",0,0.6484375
"K-medoids",27,70,"Nb",0,0.6484375
"K-medoids",27,70,"Ta",0,0.6484375
"K-medoids",27,70,"Ti",0,0.6484375
"K-medoids",27,70,"V",0,0.6484375
"K-medoids",27,70,"W",0,0.6484375
"K-medoids",27,70,"Zr",0,0.6484375
"K-medoids",28,70,"Mo",0,0.6484375
"K-medoids",28,70,"Nb",0,0.6484375
"K-medoids",28,70,"Ta",0,0.6484375
"K-medoids",28,70,"Ti",0,0.6484375
"K-medoids",28,70,"V",0,0.6484375
"K-medoids",28,70,"W",0,0.6484375
"K-medoids",28,70,"Zr",0,0.6484375
"K-medoids",29,70,"Mo",0,0.6484375
"K-medoids",29,70,"Nb",0,0.6484375
"K-medoids",29,70,"Ta",0,0.6484375
"K-medoids",29,70,"Ti",0,0.6484375
"K-medoids",29,70,"V",0,0.6484375
"K-medoids",29,70,"W",0,0.6484375
"K-medoids",29,70,"Zr",0,0.6484375
"K-medoids",30,70,"Mo",0,0.6484375
"K-medoids",30,70,"Nb",0,0.6484375
"K-medoids",30,70,"Ta",0,0.6484375
"K-medoids",30,70,"Ti",0,0.6484375
"K-medoids",30,70,"V",0,0.6484375
"K-medoids",30,70,"W",0,0.6484375
"K-medoids",30,70,"Zr",0,0.6484375
"SP",1,70,"Mo",0,0.703125
"SP",1,70,"Nb",0,0.703125
"SP",1,70,"Ta",0,0.6484375
"SP",1,70,"Ti",0,0.765625
"SP",1,70,"V",0,0.6484375
"SP",1,70,"W",0,0.765625
"SP",1,70,"Zr",0,0.765625
"SP",2,70,"Mo",0,0.765625
"SP",2,70,"Nb",0,0.6484375
"SP",2,70,"Ta",0,0.6484375
"SP",2,70,"Ti",0,0.6484375
"SP",2,70,"V",0,0.703125
"SP",2,70,"W",0,0.703125
"SP",2,70,"Zr",0,0.765625
"SP",3,70,"Mo",0,0.6484375
"SP",3,70,"Nb",0,0.765625
"SP",3,70,"Ta",0,0.6484375
"SP",3,70,"Ti",0,0.765625
"SP",3,70,"V",0,0.765625
"SP",3,70,"W",0,0.6484375
"SP",3,70,"Zr",0,0.6484375
"SP",4,70,"Mo",0,0.6484375
